3	Fire Operations	FIRE
4	Public Works	TRANSPORTATION
6	Regional LE 7	LAW ENFORCEMENT
7	Traffic Ops 1	TRANSPORTATION
9	State Highway Ops	TRANSPORTATION
12	EMS Admin	TCEMS
16	TCEMS Dispatch 2	TCEMS
23	Hospital Facilities Ops	FIRE
24	Station 182 Ops	FIRE
27	Water Treatment Ops	UTILITIES
32	Security Patrol 2	LAW ENFORCEMENT
33	Security Patrol	LAW ENFORCEMENT
45	Austin Energy North	UTILITIES
48	Austin Water Emergency	UTILITIES
51	Austin Water Treatment Ops	UTILITIES
102	Austin Energy Dispatch	UTILITIES
103	Austin Energy Ops	UTILITIES
104	Electric Ops	UTILITIES
108	Austin Water Ops	UTILITIES
109	Austin Energy Gen Ops	UTILITIES
117	Law Enforcement	LAW ENFORCEMENT
124	Traffic Management	TRANSPORTATION
130	Austin Energy	UTILITIES
131	Utility Field Ops	UTILITIES
136	Austin Energy South	UTILITIES
147	Court Security	LAW ENFORCEMENT
151	Utilities	UTILITIES
152	Utilities	UTILITIES
153	Utilities	UTILITIES
156	Austin Energy Line Ops	UTILITIES
158	Austin Energy Ops 2	UTILITIES
253	ABIA Ops 2	AIRPORT
264	Fire	FIRE
265	Law Enforcement	LAW ENFORCEMENT
366	Fire	FIRE
428	TxDOT/CT	LAW ENFORCEMENT
432	ABIA Ground	AIRPORT
435	School Security	LAW ENFORCEMENT
436	Law Enforcement	LAW ENFORCEMENT
440	Regional LE 3	LAW ENFORCEMENT
441	Austin PD Dispatch 2	LAW ENFORCEMENT
442	Austin Water	UTILITIES
443	Palmer Events Center Maint	TRANSPORTATION
444	Fire	FIRE
445	Palmer Food Truck Maint	TRANSPORTATION
531	Austin Street Ops 531	TRANSPORTATION
535	Traffic Control Ops	TRANSPORTATION
536	Austin Water Field	UTILITIES
542	Transportation	TRANSPORTATION
577	Tow Dispatch 2	TRANSPORTATION
617	Austin PW 617	UTILITIES
633	E1 R PS 2	UTILITIES
1091	Education	EDUCATION
