Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2,002,"Aus Wtr Guard","D","Guard Shack","Utilities","Austin Water/Wastewater"
3,003,"Aus Wtr 3","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
4,004,"Aus Wtr 4","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
6,006,"Aus Wtr 6","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
7,007,"Aus Wtr 7","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
8,008,"Aus Wtr 8","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
9,009,"Aus Wtr 9","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
10,00a,"Aus Wtr 10","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
11,00b,"Aus Wtr 11","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
12,00c,"Aus Wtr 12","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
13,00d,"Aus Wtr 13","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
19,013,"Aus Wtr 19","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
20,014,"Aus Wtr 20","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
21,015,"Aus Wtr 21","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
23,017,"Aus Wtr 23","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
24,018,"Aus Wtr 24","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
27,01b,"Aus Wtr 27","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
28,01c,"Aus Wtr 28","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
29,01d,"Aus Wtr 29","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
30,01e,"Aus Wtr 30","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
32,020,"Aus Wtr 32","D","Water/Wastewater","Utilities","Austin Water/Wastewater"
45,02d,"Aus Wtr Plant 45","D","Plant","Utilities","Austin Water/Wastewater"
48,030,"Aus Wtr CtrlRoom","D","Control Room","Utilities","Austin Water/Wastewater"
49,031,"Aus Wtr Plant 49","D","Plant","Utilities","Austin Water/Wastewater"
101,065,"A ENRGY DISP","D","Austin Energy Electric Dispatch","Utilities","Austin Energy"
106,06a,"A ENRGY PLNT","D","Austin Energy - Power Plant?","Utilities","Austin Energy"
108,06c,"A ENRGY PDLP","D","Austin Energy - Poss Decker Lake Power Plant","Utilities","Austin Energy"
113,071,"AUS ENERGY","D","Austin Energy","Utilities","Austin Energy"
116,074,"AUS ENERGY","D","Austin Energy","Utilities","Austin Energy"
117,075,"AUS ENERGY","D","Austin Energy","Utilities","Austin Energy"
118,076,"AUS ENERGY","D","Austin Energy","Utilities","Austin Energy"
120,078,"AUS ENERGY","D","Austin Energy","Utilities","Austin Energy"
121,079,"AUS ENERGY","D","Austin Energy","Utilities","Austin Energy"
